FR=FR-MCP-TRIAGE-001 TR=TR-MCP-TRIAGE-001 TEST=TEST-MCP-TRIAGE-001
FR=FR-MCP-TRIAGE-002 TR=TR-MCP-TRIAGE-002 TEST=TEST-MCP-TRIAGE-002
FR=FR-MCP-TRIAGE-003 TR=TR-MCP-TRIAGE-003 TEST=TEST-MCP-TRIAGE-003
FR=FR-MCP-TRIAGE-004 TR=TR-MCP-TRIAGE-004,TR-MCP-TRIAGE-005 TEST=TEST-MCP-BUGTRIAGE-043,TEST-MCP-TRIAGE-004,TEST-MCP-TRIAGE-005,TEST-MCP-TRIAGE-006
FR=FR-MCP-TRIAGEERR-001 TR=TR-MCP-TRIAGEERR-001 TEST=TEST-MCP-TRIAGEERR-001
FR=FR-MCP-TRIAGEHELP-001 TR=TR-MCP-TRIAGEHELP-001 TEST=TEST-MCP-TRIAGEHELP-001
FR=FR-MCP-TRIAGEPLUGIN-001 TR=TR-MCP-TRIAGEPLUGIN-001 TEST=TEST-MCP-TRIAGEPLUGIN-001,TEST-MCP-TRIAGEPLUGIN-002,TEST-MCP-TRIAGEPLUGIN-003,TEST-MCP-TRIAGEPLUGIN-004,TEST-MCP-TRIAGEPLUGIN-005
FR=FR-MCP-TRIAGEREQ-001 TR=TR-MCP-TRIAGEREQ-001 TEST=TEST-MCP-TRIAGEREQ-001
FR=FR-MCP-TRIAGESCHEMA-001 TR=TR-MCP-TRIAGESCHEMA-001 TEST=TEST-MCP-TRIAGESCHEMA-001
FR=FR-MCP-TRIAGESTORE-001 TR=TR-MCP-TRIAGESTORE-001 TEST=TEST-MCP-TRIAGESTORE-001,TEST-MCP-TRIAGESTORE-002,TEST-MCP-TRIAGESTORE-003,TEST-MCP-TRIAGESTORE-004,TEST-MCP-TRIAGESTORE-005,TEST-MCP-TRIAGESTORE-006,TEST-MCP-TRIAGESTORE-007
FR=FR-MCP-TRIAGESTORE-002 TR=TR-MCP-TRIAGESTORE-002 TEST=TEST-MCP-TRIAGESTORE-007
FR=FR-MCP-TRIAGETODO-001 TR=TR-MCP-TRIAGETODO-001 TEST=TEST-MCP-TRIAGETODO-001,TEST-MCP-TRIAGETODO-002
FR=FR-TRIAGE-001 TR=TR-TRIAGE-CLIENT-001 TEST=TEST-TRIAGE-001
FR=FR-TRIAGE-002 TR=TR-TRIAGE-CLIENT-002 TEST=TEST-TRIAGE-002
